geo_id,IR,ClusterID
10001,10.605567836573755,1
10002,25.340386272939213,4
10003,10.246684038800595,3
10004,0.5510489987209439,0
10005,0.7656308822333813,0
10006,0.13562953477958217,0
10007,0.6812099921517074,0
10009,17.092677512584487,4
10010,3.339864975605451,2
10011,13.673243901590467,3
10012,3.1886701755356626,1
10013,2.984350399048708,1
10014,6.623414675792446,2
10016,15.975000994971197,4
10017,3.8962241900444496,1
10018,5.754665043350542,0
10019,11.508178504300304,3
10021,12.498921350968885,3
10022,7.86625185929006,2
10023,12.104289237278863,4
10024,15.528105981793487,4
10025,31.808363300537167,6
10026,18.07541781891632,3
10027,28.09132045817387,4
10028,10.394717935130757,4
10029,51.25520352338208,5
10030,15.663504924355948,2
10031,32.322341067636444,5
10032,37.473856728480314,5
10033,28.84685378375434,5
10034,18.119063933532743,4
10035,22.904096721220412,2
10036,8.880983098242723,2
10037,12.184145217004698,1
10038,5.348733749437088,1
10039,9.77365758128144,2
10040,23.187688649552,3
10044,3.315538715054572,0
10065,7.455868944300164,1
10075,9.410282137614558,1
10128,10.927132172393613,5
10280,0.7233989369706251,0
10301,27.6813937065308,3
10302,16.93403126951307,1
10303,24.59154676516482,2
10304,31.208778790845827,3
10305,32.683571703026246,3
10306,36.11956584011932,5
10307,11.14379932511656,1
10308,19.525663464439276,3
10309,24.146844480557775,3
10310,20.980882940195443,1
10312,39.92237788523926,5
10314,66.59481124562444,7
10451,40.51047220984037,3
10452,49.96953008600394,5
10453,59.334049383338424,5
10454,29.933190893076244,2
10455,28.765884073967754,3
10456,67.42967661144212,6
10457,62.60942783389328,5
10458,52.46425095456652,6
10459,38.887694340264716,3
10460,36.87011558566155,4
10461,59.65294782905403,4
10462,62.6709138080987,7
10463,49.07842649117811,6
10464,3.1181613695953274,0
10465,46.37432132156391,3
10466,59.756492458152934,6
10467,79.8948181294545,8
10468,66.5059974094911,7
10469,76.70996553042642,6
10470,10.840931418795662,1
10471,13.666029820677068,1
10472,43.3664492891985,5
10473,54.83170408724254,4
10474,8.199672336580988,0
10475,45.94634700783354,4
11004,18.95117952367582,1
11101,16.16214599894738,2
11102,17.41464005123271,3
11103,15.616570409671112,4
11104,14.30226939721615,2
11105,17.27515235208557,4
11106,15.257453926249582,3
11201,14.166476058868284,5
11203,49.01597477001633,7
11204,47.06357601299533,5
11205,17.596689018442703,3
11206,37.48167382567772,6
11207,48.82379373450385,7
11208,55.1872518493401,7
11209,34.09701657689584,6
11210,38.11467316819471,6
11211,45.01903335222596,7
11212,48.618702617932286,5
11213,30.866774332702335,5
11214,37.00932203151751,8
11215,17.76548754367832,6
11216,17.291627696176874,5
11217,18.56497577976552,3
11218,53.651488036972296,6
11219,70.55109405878466,5
11220,40.563491231165244,8
11221,31.661152237655187,7
11222,11.545173287646321,4
11223,39.997738978076086,6
11224,25.83142571702774,3
11225,27.325554218972684,5
11226,44.779400313287624,8
11228,17.505359878967283,4
11229,34.820496172163985,7
11230,57.714412935078144,6
11231,9.45397570078785,3
11232,15.217667531469488,2
11233,30.085385653590492,6
11234,60.26225731168961,8
11235,46.865415151907655,7
11236,70.4996017809899,9
11237,24.218602694869332,4
11238,21.527493121910084,5
11239,12.980420614607283,1
11354,28.787958636203257,4
11355,29.96832206936233,6
11356,13.735771925144945,1
11357,20.51628581481782,3
11358,10.738754354599223,3
11360,8.442248701692733,1
11361,15.423371321587183,2
11362,5.747848300932674,1
11363,5.234295875750831,0
11364,11.283305358680082,3
11365,22.867953490494983,4
11366,12.816730415048369,1
11367,23.9817338477078,3
11368,119.57718776648107,9
11369,44.947789893412846,2
11370,35.77803124473576,2
11372,66.76946201335522,5
11373,89.65771918572864,8
11374,34.26424103319732,4
11375,52.94741037998756,7
11377,62.93174039849691,7
11378,20.41556636631867,3
11379,15.610286222414288,3
11385,42.775033882135176,9
11411,29.47141371598991,2
11412,41.62681075391447,4
11413,36.86643292753433,4
11414,26.351866767501633,2
11415,12.940834613720654,1
11416,21.629911419033306,2
11417,18.804585576232057,3
11418,23.16400985128712,3
11419,33.15434042271954,5
11420,35.44092584982718,5
11421,30.82058097216941,4
11422,31.17843691388407,4
11423,21.404677234029805,3
11426,17.11602600344486,2
11427,24.81524379419716,2
11428,17.78517616030149,1
11429,28.239055740988988,3
11432,35.78055429640517,5
11433,21.925525996281067,3
11434,58.65694677018473,6
11435,40.196870249768835,6
11436,13.503783652296988,2
11691,55.39929064882017,5
11692,16.16691801835259,2
11693,7.951311154232826,1
11694,19.933779079350643,1
11697,2.910836234805174,0
11697,2.840523734805174,0
