geo_id,avIR,4_03.csv,4_04.csv,4_05.csv,4_07.csv,4_08.csv,4_09.csv,4_10.csv,4_11.csv,4_12.csv,4_13.csv,4_14.csv,4_15.csv,4_16.csv,4_17.csv,4_18.csv,4_19.csv,4_20.csv,4_21.csv,4_22.csv,4_23.csv,4_24.csv,4_25.csv,4_26.csv,4_27.csv,4_28.csv,4_29.csv,4_30.csv,5_01.csv,5_02.csv,5_03.csv,5_04.csv,5_05.csv,5_06.csv,5_07.csv,5_08.csv,5_09.csv,5_10.csv,5_11.csv
10037,12.184145217004698,7,13,25,11,37,22,7,9,3,11,21,14,8,7,1,2,5,0,4,4,7,63,-43,3,3,3,2,3,6,10,2,5,4,1,0,5,2,36
10038,5.348733749437088,4,4,13,4,8,9,2,14,4,4,1,0,3,2,1,1,4,0,7,1,6,48,-37,5,2,4,0,4,3,4,3,1,3,1,1,0,0,-1
10039,9.77365758128144,6,8,23,9,27,19,10,23,2,9,21,12,9,4,5,5,6,2,13,19,10,81,-67,10,2,8,6,5,6,4,1,3,7,4,1,3,1,2
10040,23.187688649552,22,16,35,24,46,35,3,61,14,20,23,21,17,8,13,7,23,5,24,27,18,131,-101,13,12,20,8,16,14,19,15,11,31,41,33,7,4,7
10044,3.315538715054572,4,1,4,3,10,1,2,6,2,3,5,3,1,6,8,4,2,1,8,7,4,30,-21,4,1,7,5,0,5,8,0,4,2,1,2,4,1,0
10065,7.455868944300164,8,5,11,5,10,10,0,9,2,6,6,3,5,5,1,0,8,0,7,5,3,61,-55,4,2,1,1,4,2,3,-1,3,2,1,5,2,0,1
10069,0.4290573597609182,0,0,3,0,1,1,0,1,0,2,1,2,2,1,1,0,1,0,1,0,0,10,-10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
10075,9.410282137614558,7,9,22,6,9,11,5,5,3,9,13,7,5,1,2,3,4,5,7,3,4,97,-90,-1,0,3,2,-2,5,0,0,2,2,0,1,1,0,0
10128,10.927132172393613,8,6,25,11,35,22,10,12,7,21,29,7,9,7,13,2,10,1,11,12,4,120,-113,10,0,1,1,3,2,2,3,7,2,2,2,8,4,4
10280,0.7233989369706251,0,1,3,0,2,2,0,0,1,2,1,1,0,0,0,0,1,0,0,2,0,6,-6,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0
10282,2.116295337677002,2,2,4,0,1,4,0,3,4,2,1,1,1,3,0,0,2,0,1,0,3,39,-39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10301,27.6813937065308,18,25,46,33,100,67,14,55,34,33,18,38,23,22,45,16,26,6,25,35,19,150,-128,8,9,12,6,11,7,8,4,13,10,4,12,8,6,2
10302,16.93403126951307,9,17,36,13,67,32,7,43,9,26,7,20,16,19,13,9,13,15,10,19,7,70,-48,7,4,9,3,6,7,5,3,5,7,2,3,7,5,1
10303,24.59154676516482,15,15,55,36,98,49,7,67,20,21,6,22,18,13,27,6,19,2,22,19,19,111,-90,6,6,4,10,5,7,1,2,6,4,3,11,3,2,2
10304,31.208778790845827,21,22,63,33,119,68,16,70,17,29,17,60,32,30,28,13,21,11,34,21,19,228,-195,8,13,12,14,15,13,5,15,11,15,4,3,12,4,1
10305,32.683571703026246,22,18,71,41,130,76,20,64,24,22,7,48,28,27,27,8,23,7,23,31,20,203,-179,12,11,12,17,17,10,3,3,5,6,4,9,9,6,3
10306,36.11956584011932,14,39,75,34,192,83,21,77,31,24,13,47,21,31,34,12,25,12,28,32,16,264,-235,10,9,12,11,7,12,10,4,4,11,4,11,15,6,1
10307,11.14379932511656,6,10,24,10,43,34,5,21,7,2,2,17,8,5,18,2,4,8,7,5,5,82,-77,1,1,2,0,4,1,1,3,4,1,0,0,1,0,0
10308,19.525663464439276,13,17,34,22,74,36,10,40,11,9,9,19,8,8,10,3,12,3,15,14,8,133,-123,1,2,3,3,3,4,2,0,2,3,2,1,3,4,1
10309,24.146844480557775,15,16,52,26,92,84,8,53,14,19,23,22,7,12,14,8,8,12,13,25,3,153,-141,4,2,6,6,2,3,3,4,3,3,2,4,1,1,0
10310,20.980882940195443,13,19,45,11,77,47,14,28,14,16,12,27,12,14,28,14,14,7,16,18,12,93,-80,9,5,14,8,10,5,5,7,8,4,2,6,1,0,1
10312,39.92237788523926,24,20,96,35,201,124,16,74,24,33,17,36,24,23,39,7,13,10,20,29,18,238,-216,4,8,11,8,11,13,6,5,6,3,3,5,7,9,2
10314,66.59481124562444,44,49,127,63,271,183,46,167,39,71,38,66,49,48,75,23,52,22,75,42,41,407,-353,20,21,23,35,14,24,20,15,7,12,7,11,11,8,6
10451,40.51047220984037,34,22,84,22,148,63,21,58,34,33,32,45,49,36,42,20,29,17,45,40,35,214,-146,21,10,21,13,13,16,11,11,14,8,4,10,4,6,3
10452,49.96953008600394,33,42,114,37,134,104,13,82,38,50,39,73,63,47,34,31,45,11,76,72,58,267,-174,42,12,32,36,22,40,23,11,14,15,4,13,18,11,9
10453,59.334049383338424,46,46,115,56,151,101,22,82,42,46,27,80,40,51,42,25,48,12,67,58,45,269,-202,38,11,25,42,32,36,18,14,20,16,11,28,30,11,7
10454,29.933190893076244,28,21,42,19,100,55,7,33,16,17,33,32,26,31,14,12,16,5,32,30,29,136,-87,19,12,14,12,11,9,6,7,10,8,0,14,8,11,3
10455,28.765884073967754,24,17,52,23,108,54,12,39,22,42,26,34,41,32,36,11,25,8,22,29,32,176,-122,17,8,19,21,19,23,8,7,12,10,3,15,5,6,3
10456,67.42967661144212,48,71,122,61,146,90,19,73,45,75,45,81,60,30,52,30,48,21,87,71,52,277,-187,32,18,40,37,25,45,27,21,22,16,10,15,15,14,8
10457,62.60942783389328,56,50,111,35,141,70,17,62,35,65,23,81,36,41,36,29,47,19,60,44,39,249,-176,33,24,22,38,28,27,23,13,14,11,5,28,18,10,5
10458,52.46425095456652,42,46,90,45,131,81,14,66,46,46,23,86,35,28,37,33,40,17,51,58,36,264,-194,19,18,33,26,25,29,21,14,21,20,3,13,18,12,4
10459,38.887694340264716,31,23,77,42,122,73,16,53,16,46,16,45,37,28,22,23,17,6,36,45,52,197,-156,21,9,24,20,10,19,14,22,12,8,4,21,9,2,1
10460,36.87011558566155,27,26,70,33,149,62,14,46,30,46,28,75,39,29,23,24,32,9,49,37,39,187,-140,26,14,14,19,15,27,14,18,18,13,7,7,8,11,6
10461,59.65294782905403,52,40,117,34,150,114,14,53,19,46,24,66,36,29,28,22,40,14,54,55,31,298,-244,26,18,25,22,26,22,15,18,11,13,3,4,12,7,2
10462,62.6709138080987,53,35,133,42,180,127,19,68,22,61,24,89,53,46,33,35,47,20,63,60,24,322,-265,23,12,33,29,30,22,19,7,6,20,6,23,22,11,4
10463,49.07842649117811,40,35,84,50,145,88,46,70,41,38,57,42,39,33,33,46,47,1,74,52,43,215,-168,16,1,28,28,33,10,33,18,17,35,0,24,10,9,11
10464,3.1181613695953274,0,5,8,3,17,8,0,4,1,3,1,13,1,0,1,1,7,2,4,1,2,24,-23,1,0,-1,0,1,0,1,-1,0,0,0,0,1,0,0
10465,46.37432132156391,37,35,91,34,117,101,12,49,17,45,14,61,25,20,31,12,38,18,36,41,21,249,-214,14,6,8,9,10,18,15,6,10,11,4,8,5,11,5
10466,59.756492458152934,38,40,149,55,178,145,32,112,28,74,32,89,68,56,44,15,62,9,71,68,44,274,-212,12,19,13,19,19,24,8,13,13,9,3,17,10,11,3
10467,79.8948181294545,53,52,201,67,233,184,27,116,49,100,54,115,67,50,41,45,82,20,94,65,43,466,-371,34,25,48,36,33,41,25,21,20,20,5,21,21,19,3
10468,66.5059974094911,56,40,140,45,185,101,30,98,56,63,38,61,59,50,40,28,47,22,62,60,50,280,-210,39,11,44,41,30,25,17,16,20,29,7,31,12,24,0
10469,76.70996553042642,72,40,130,63,220,173,36,97,63,93,54,113,74,69,62,29,60,17,65,59,45,387,-310,12,49,38,33,29,25,8,12,14,16,7,17,32,62,21
10470,10.840931418795662,3,10,35,11,38,28,5,20,8,13,5,15,6,12,4,8,7,3,13,13,6,46,-42,1,2,5,4,1,4,5,1,7,0,0,4,3,2,5
10471,13.666029820677068,6,13,34,18,44,33,5,19,8,9,7,25,13,18,6,5,21,1,25,16,10,74,-62,12,6,7,4,6,13,4,5,6,2,0,3,9,0,1
10472,43.3664492891985,31,21,113,38,140,76,18,64,32,64,21,75,43,37,49,18,30,10,42,81,42,223,-149,26,19,15,22,27,26,11,12,15,19,2,19,14,8,8
10473,54.83170408724254,35,46,120,55,165,105,23,67,32,58,27,65,29,50,17,9,31,15,56,31,25,259,-205,18,15,22,30,17,29,12,14,15,16,5,10,12,8,5
10474,8.199672336580988,6,6,14,9,32,20,1,11,5,7,5,11,12,6,7,4,3,1,4,11,10,47,-36,4,1,3,2,6,-1,3,1,3,4,0,3,0,3,2
10475,45.94634700783354,34,30,96,41,146,106,25,74,35,74,21,90,37,26,30,24,36,11,42,40,27,263,-223,10,8,20,15,10,9,13,15,8,7,2,17,13,8,4
11004,18.95117952367582,21,6,39,11,28,22,10,14,6,18,5,11,13,8,12,6,12,2,17,15,5,82,-68,4,2,5,10,7,8,3,8,5,2,0,4,2,3,3
11101,16.16214599894738,13,18,26,7,33,17,7,22,7,13,10,14,10,8,17,6,11,4,16,15,5,82,-69,9,7,11,4,7,5,3,3,6,3,2,2,4,3,2
11102,17.41464005123271,13,20,28,21,21,16,7,27,7,13,10,9,7,8,19,8,18,4,27,24,10,70,-62,5,9,11,7,4,6,5,3,6,5,1,5,2,2,3
11103,15.616570409671112,12,16,22,22,31,21,9,23,9,8,8,12,10,10,9,5,10,2,10,14,11,62,-55,7,6,5,7,10,2,6,1,5,1,2,6,3,4,5
11104,14.30226939721615,16,8,18,8,33,24,9,12,7,8,6,9,13,5,4,5,9,3,12,13,11,63,-52,6,4,7,4,8,2,6,1,9,7,1,3,5,4,2
11105,17.27515235208557,21,9,20,8,32,22,6,25,8,13,9,11,3,9,12,4,9,3,10,15,10,66,-55,6,2,3,1,6,3,4,2,2,3,5,4,5,1,1
11106,15.257453926249582,12,12,28,14,45,19,7,23,8,10,6,15,12,13,11,4,10,1,24,17,10,84,-65,11,5,13,4,9,6,2,8,6,3,3,7,0,8,3
11109,1.4004851803474594,1,1,4,1,0,5,0,2,0,1,2,0,1,-1,1,0,0,0,0,1,1,12,-11,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
11201,14.166476058868284,13,10,26,8,28,23,9,20,7,7,15,16,4,16,9,3,10,4,8,12,8,135,-126,8,3,8,7,2,4,6,5,2,10,1,5,34,5,8
11203,49.01597477001633,33,54,89,34,116,89,29,91,33,51,63,47,61,42,31,20,36,13,66,57,39,272,-226,21,15,23,24,27,23,19,13,12,20,6,27,20,9,12
11204,47.06357601299533,34,43,119,22,64,40,9,67,24,29,22,55,37,18,30,13,20,12,75,52,23,332,-277,29,4,13,13,24,24,9,14,17,18,13,14,15,16,6
11205,17.596689018442703,12,16,47,13,17,13,3,29,4,20,7,14,25,7,6,7,8,4,19,19,6,81,-60,10,5,11,3,8,10,1,6,7,6,-1,12,10,6,1
11206,37.48167382567772,33,33,59,20,92,55,15,39,20,31,29,48,38,24,28,16,22,5,38,43,33,225,-184,28,15,22,18,30,13,7,9,15,14,5,15,17,7,7
11207,48.82379373450385,45,30,104,26,79,73,20,72,28,48,52,58,56,31,32,34,39,21,46,54,51,244,-171,31,15,29,20,21,39,22,17,21,28,9,25,22,13,6
11208,55.1872518493401,51,37,105,40,88,91,21,76,29,71,44,90,41,48,31,25,55,15,72,56,48,332,-246,33,16,36,28,26,31,17,26,18,29,9,30,26,23,6
11209,34.09701657689584,29,27,71,21,57,33,8,49,24,37,19,48,22,18,17,11,17,5,24,35,19,156,-125,14,6,11,9,12,7,8,4,9,9,3,10,17,10,2
11210,38.11467316819471,30,29,80,36,77,45,17,60,21,41,82,39,41,16,24,21,36,11,36,34,20,238,-208,19,10,15,24,17,12,11,8,8,22,7,14,7,6,0
11211,45.01903335222596,41,30,89,26,92,62,10,64,14,32,45,49,21,16,20,11,12,11,42,39,31,318,-279,23,19,23,22,34,30,25,9,21,18,7,15,18,11,8
11212,48.618702617932286,39,35,115,29,85,66,16,62,21,52,33,42,44,22,30,16,32,10,46,62,41,179,-141,25,16,36,33,26,35,25,7,29,19,9,15,16,10,1
11213,30.866774332702335,22,34,61,18,49,44,11,56,18,29,33,33,25,27,14,17,21,4,26,38,21,232,-200,11,6,13,12,12,15,8,7,6,12,0,10,8,4,3
11214,37.00932203151751,22,34,90,30,93,62,15,67,28,41,30,48,48,35,26,12,22,7,46,36,15,167,-131,14,21,10,23,15,15,18,10,13,16,3,14,8,6,10
11215,17.76548754367832,14,22,26,11,31,12,2,29,9,14,10,16,14,8,11,5,16,5,10,8,11,65,-52,5,1,14,3,6,0,5,2,3,3,0,4,7,2,3
11216,17.291627696176874,12,18,38,7,33,23,6,29,8,24,11,20,22,13,10,5,11,8,14,12,9,83,-70,15,3,8,12,8,5,9,1,7,4,3,9,10,6,0
11217,18.56497577976552,16,19,32,11,19,21,2,35,15,13,13,10,14,4,12,1,13,2,8,6,4,76,-61,7,3,3,4,8,5,14,4,6,3,1,3,4,19,5
11218,53.651488036972296,43,32,129,71,82,37,11,72,12,27,28,44,39,19,18,10,19,11,41,23,27,218,-162,20,8,14,11,25,21,15,12,11,17,10,12,11,8,3
11219,70.55109405878466,51,48,178,103,96,49,2,115,19,27,108,35,46,22,25,12,15,17,82,49,46,439,-391,27,11,33,45,36,26,13,22,33,42,9,38,24,21,11
