Familial,Age_Gender,Education_level,occupation,Mobility,Income,Race,ClusterID,IR
0.38312796,0.31445765,0.60616434,0.5712115,0.39066374,0.3069764,0.79143155,3,18.80458558
0.25549963,0.28037587,0.68881094,0.6302656,0.13125485,0.25425297,0.44663605,2,7.455868944
0.86709225,0.7776672,0.18046358,0.2165739,0.7904796,0.8661326,0.93226457,4,47.06357601
0.27070594,0.61742854,0.39292732,0.914732,0.3099411,0.5812428,0.7283984,1,10.24668404
0.5414639,0.50310004,0.5252364,0.5870533,0.44101322,0.5064755,0.4387687,3,17.59668902
0.5698631,0.6205244,0.39332137,0.382,0.7320013,0.6559822,0.4233728,4,21.52749312
0.13798621,0.2142351,0.69191086,0.64537644,0.084896415,0.15777004,0.5258021,2,3.188670176
0.37693623,0.29759988,0.6110054,0.68670416,0.37265682,0.28037605,0.23912667,3,19.52566346
0.5353689,0.38688052,0.5892405,0.5508666,0.22281408,0.41028705,0.116707176,2,29.93319089
0.87459993,0.794233,0.93555343,0.07196316,0.7696444,0.88292825,0.21032426,4,59.33404938
0.885075,0.87383115,0.096936226,0.15564606,0.9418062,0.9450687,0.8786458,6,66.59481125
0.7746539,0.6925397,0.21765405,0.24539323,0.8609909,0.75601965,0.31945598,5,58.65694677
0.6667018,0.6455941,0.28639323,0.3055214,0.8283253,0.71097434,0.87571573,5,40.19687025
0.61540574,0.6771183,0.39746615,0.36842126,0.615737,0.67571664,0.69930464,4,12.10428924
0.80034816,0.8388643,0.18476048,0.17891562,0.94294304,0.909443,0.41594312,6,31.66115224
0.9216,0.8712592,0.1427337,0.08773586,0.8621977,0.9584421,0.18967113,5,67.42967661
0.26880208,0.6011554,0.40417552,0.37534308,0.5199489,0.5984957,0.8011892,3,15.97500099
0.78277373,0.8157841,0.18751729,0.16792452,0.69764555,0.86715275,0.72945297,4,51.25520352
0.7481943,0.8364389,0.13780198,0.10028592,0.8533256,0.8906492,0.9749445,5,29.96832207
0.8654322,0.75064856,0.20500812,0.9383301,0.73191506,0.8364948,0.18105283,4,62.60942783
0.5023001,0.41923866,0.5755586,0.4948585,0.41673833,0.39339134,0.39566055,3,27.68139371
0.6122752,0.56206715,0.49824882,0.4611618,0.60025316,0.5501116,0.60814345,3,59.65294783
0.39068252,0.34788513,0.60931945,0.56005055,0.3559488,0.33434135,0.52744704,3,44.94778989
0.86846197,0.79045856,0.18733266,0.061611056,0.90261877,0.8743566,0.3725885,6,66.50599741
0.91185737,0.9108215,0.09597382,0.137117,0.9952034,0.9950212,0.71966046,7,42.77503388
0.32230926,0.3000095,0.7035265,0.6587224,0.26276988,0.26611686,0.6998514,1,16.162146
0.5503448,0.47919658,0.54253733,0.48981777,0.48217168,0.47066075,0.6103588,3,32.6835717
0.51532835,0.41477138,0.6634365,0.62246734,0.38955873,0.41865057,0.35341847,3,9.453975701
0.9235629,0.9031953,0.11118543,0.11435568,0.97269964,0.98737586,0.6473751,7,79.89481813
0.6241878,0.5933924,0.4693011,0.2851606,0.6758192,0.63714015,0.4583707,4,36.11956584
0.8732758,0.8185837,0.17689267,0.18559772,0.8950821,0.89910346,0.9138437,5,39.99773898
0.6366485,0.6759962,0.38843995,0.370553,0.6826094,0.6797652,0.73660964,4,14.16647606
0.8610152,0.77203834,0.21455428,0.056498706,0.7620671,0.857283,0.20907682,4,49.96953009
0.5492002,0.4563213,0.5823062,0.54217446,0.38516086,0.4735253,0.13791543,3,28.76588407
0.89909947,0.9004086,0.09561086,0.1408839,0.98773694,0.9814988,0.8233917,7,44.77940031
0.8387265,0.69047415,0.23401093,0.27601585,0.76963425,0.75812835,0.3875531,4,55.39929065
0.26130116,0.9809118,0.4202515,0.39029577,0.30400908,0.5727816,0.73666584,1,11.5081785
0.9245634,0.88993907,0.091353804,0.10461691,0.930515,0.97686505,0.62838566,6,55.18725185
0.81463075,0.706753,0.21725368,0.31248993,0.72142375,0.79084903,0.55629075,4,43.36644929
0.34427732,0.43047246,0.46044892,0.6061921,0.5352021,0.4053279,0.55266577,3,17.27515235
0.76248753,0.7471396,0.3818404,0.366994,0.8867562,0.80597234,0.6491694,5,17.76548754
0.61673355,0.6552471,0.39761654,0.37124068,0.71483594,0.6773553,0.6494686,4,10.92713217
0.9000312,0.88918996,0.09272659,0.14959195,0.3326525,0.9682553,0.67029846,7,60.26225731
0.56606585,0.63305014,0.34837794,0.9054043,0.7722902,0.6918758,0.41886032,4,17.2916277
0.8413367,0.8380724,0.18032146,0.16659325,0.94024754,0.9114844,0.9075813,6,34.82049617
0.88093567,0.8731475,0.11161262,0.106874555,0.94376117,0.9514072,0.30823466,6,48.82379373
0.73183227,0.7262213,0.33984694,0.23923482,0.8914275,0.78786063,0.7847063,5,34.09701658
0.08365527,0.063658446,0.8780575,0,0,0.00497371,0.110497534,0,2.910836235
