0,geo_id,ClusterID
0.08453596,10464,0
0.18184936,10471,2
0.8056102,11210,5
0.31630033,11232,2
0.1859854,11428,2
0.19154261,11411,2
0.29164004,11427,2
0.16362959,10307,2
0.64999,10451,3
0.13677603,11004,2
0.16743696,10014,2
0.6690569,11432,4
0.75018287,11375,6
0.89498025,11220,7
0.5653852,10465,3
0.7840351,11203,6
0.63025934,10033,4
0.103054315,10044,0
0.36990294,11422,3
0.569278,11367,3
0.09101799,10005,0
0.14320919,10470,2
0.44326383,11358,3
0.20026816,11360,2
0.44631782,10009,3
0.90556884,11236,7
0.29900604,11370,2
0.22733109,10037,1
0.13203937,10001,2
1.0,11426,2
0.16202915,10038,2
0.31676674,10310,2
0.20262676,11436,2
0.14850965,11366,2
0.22007877,11694,2
0.09554008,11363,0
0.1930164,10075,2
0.36931238,10303,2
0.5028175,11378,3
0.5312748,11237,4
0.3104274,11692,2
0.6623169,10459,3
0.09154397,10007,0
0.13653153,10036,2
0.10603517,10280,0
0.19214135,10302,2
0.33375406,11416,2
0.581683,11365,3
0.65132856,11372,5
0.7890969,10466,5
0.28833026,10013,2
0.13499668,11239,0
0.08112067,10006,0
0.5303273,11413,4
0.4945289,11433,3
0.1283254,10474,0
0.30084834,11356,2
0.08096436,10004,0
0.13197482,11693,2
0.086594135,10018,0
0.89169574,11206,5
0.91955686,11211,6
0.74554634,10025,5
0.87832767,10458,5
0.7537222,11235,6
0.8522208,11218,5
0.57909167,11420,4
0.78251135,11213,4
0.7775739,10469,5
0.4824332,10040,3
0.27089685,11222,3
0.93924654,11219,4
0.47054434,10021,3
0.63593155,10027,3
0.74651366,10312,4
0.35429674,11106,3
0.6252068,10024,4
0.8403834,11233,5
0.787393,10460,3
0.42011195,10026,3
0.44979644,11374,3
0.45800263,11364,3
0.61308515,11354,4
0.24144562,10022,2
0.46659717,10475,3
0.5768932,11419,4
0.4448546,10028,3
0.23276557,10010,2
0.34183598,10011,3
0.79756963,11212,4
0.9070678,11230,5
0.58147585,10032,4
0.0,10002,4
0.63078856,11225,4
0.58878756,10031,4
0.8483538,11373,7
0.9339435,11368,7
0.47914267,11357,3
0.51275307,11421,3
0.18105829,11415,2
0.4728759,11217,3
0.3053677,11429,3
0.5076119,11418,3
0.10711712,10017,1
0.75892425,11377,6
0.799736,10462,6
0.17945495,11362,2
0.3632641,10039,2
0.2245165,11104,2
0.3465453,11423,3
0.5004916,10034,3
0.5960872,11224,3
0.48027825,11412,3
0.46516478,10309,3
0.28847998,11102,3
0.31137455,10030,2
0.35474065,11414,2
0.5482788,10304,3
0.97890544,11379,3
0.8827716,11214,7
0.367099,10035,2
0.280785,11103,3
0.5842761,11228,3
0.28655067,11361,2
0.76836866,10473,4
0.77535397,10463,5
0.38312796,11417,3
0.25549963,10065,2
0.86709225,11204,4
0.27070594,10003,1
0.5414639,11205,3
0.5698631,11238,4
0.13798621,10012,2
0.37693623,10308,3
0.5353689,10454,2
0.87459993,10453,4
0.885075,10314,6
0.7746539,11434,5
0.6667018,11435,5
0.61540574,10023,4
0.80034816,11221,6
0.9216,10456,5
0.26880208,10016,3
0.78277373,10029,4
0.7481943,11355,5
0.8654322,10457,4
0.5023001,10301,3
0.6122752,10461,3
0.39068252,11369,3
0.86846197,10468,6
0.91185737,11385,7
0.32230926,11101,1
0.5503448,10305,3
0.51532835,11231,3
0.9235629,10467,7
0.6241878,10306,4
0.8732758,11223,5
0.6366485,11201,4
0.8610152,10452,4
0.5492002,10455,3
0.89909947,11226,7
0.8387265,11691,4
0.26130116,10019,1
0.9245634,11208,6
0.81463075,10472,4
0.34427732,11105,3
0.76248753,11215,5
0.61673355,10128,4
0.9000312,11234,7
0.56606585,11216,4
0.8413367,11229,6
0.88093567,11207,6
0.73183227,11209,5
0.08365527,11697,0
