0,geo_id,ClusterID
0.86244655,10464,0
0.7183913,10471,2
0.2430083,11210,5
0.72582936,11232,2
0.78178656,11428,2
0.76002115,11411,2
0.73214453,11427,2
0.79774463,10307,2
0.44189554,10451,3
0.7899277,11004,2
0.6220938,10014,2
0.27717978,11432,4
0.35220644,11375,6
0.10084668,11220,7
0.87679565,10465,3
0.19968697,11203,6
0.26327854,10033,4
0.80663145,10044,0
0.56099045,11422,3
0.49565193,11367,3
0.8391963,10005,0
0.79600894,10470,2
0.50636077,11358,3
0.75269115,11360,2
0.91421705,10009,3
0.14086348,11236,7
0.5297289,11370,2
0.76522976,10037,1
0.6577029,10001,2
0.7655395,11426,2
0.6666385,10038,2
0.7480624,10310,2
0.78441083,11436,2
0.80008984,11366,2
0.7429205,11694,2
0.8326094,11363,0
0.66565835,10075,2
0.7412995,10303,2
0.54998887,11378,3
0.496963,11237,4
0.7811388,11692,2
0.44351837,10459,3
0.83541,10007,0
0.6297052,10036,2
0.83785194,10280,0
0.7882169,10302,2
0.7467595,11416,2
0.48617673,11365,3
0.2792294,11372,5
0.21447296,10466,5
0.6525924,10013,2
0.8051375,11239,0
0.84105515,10006,0
0.488877,11413,4
0.55832523,11433,3
0.81760854,10474,0
0.7638092,11356,2
0.8411372,10004,0
0.81348413,11693,2
0.83213985,10018,0
0.17680418,11206,5
0.9573022,11211,6
0.34651074,10025,5
0.074816555,10458,5
0.1707544,11235,6
0.23847742,11218,5
0.4576372,11420,4
0.24361111,11213,4
0.20377195,10469,5
0.48293144,10040,3
0.6202557,11222,3
0.19593889,11219,4
0.5980406,10021,3
0.18946072,10027,3
0.24682485,10312,4
0.60688156,11106,3
0.37171143,10024,4
0.19923803,11233,5
0.42517418,10460,3
0.58451307,10026,3
0.5115494,11374,3
0.51576453,11364,3
0.30626857,11354,4
0.6215199,10022,2
0.4585389,10475,3
0.4557158,11419,4
0.38142946,10028,3
0.620444,10010,2
0.37802482,10011,3
0.0824382,11212,4
0.16685694,11230,5
0.25533634,10032,4
0.16597715,10002,4
0.256141,11225,4
0.2633696,10031,4
0.1089907,11373,7
0.08374056,11368,7
0.50008726,11357,3
0.53832185,11421,3
0.7651518,11415,2
0.61556214,11217,3
0.7254016,11429,3
0.5507524,11418,3
0.67320865,10017,1
1.0,11377,6
0.21568412,10462,6
0.7616735,11362,2
0.73201513,10039,2
0.6871839,11104,2
0.5691087,11423,3
0.49574602,10034,3
0.4340749,11224,3
0.5406543,11412,3
0.53998476,10309,3
0.65417314,11102,3
0.7057475,10030,2
0.6958743,11414,2
0.48686782,10304,3
0.51612675,11379,3
0.14933261,11214,7
0.5131104,10035,2
0.6130804,11103,3
0.48183322,11228,3
0.6912221,11361,2
0.30259874,10473,4
0.21850474,10463,5
0.5712115,11417,3
0.6302656,10065,2
0.2165739,11204,4
0.914732,10003,1
0.5870533,11205,3
0.382,11238,4
0.64537644,10012,2
0.68670416,10308,3
0.5508666,10454,2
0.07196316,10453,4
0.15564606,10314,6
0.24539323,11434,5
0.3055214,11435,5
0.36842126,10023,4
0.17891562,11221,6
0.08773586,10456,5
0.37534308,10016,3
0.16792452,10029,4
0.10028592,11355,5
0.9383301,10457,4
0.4948585,10301,3
0.4611618,10461,3
0.56005055,11369,3
0.061611056,10468,6
0.137117,11385,7
0.6587224,11101,1
0.48981777,10305,3
0.62246734,11231,3
0.11435568,10467,7
0.2851606,10306,4
0.18559772,11223,5
0.370553,11201,4
0.056498706,10452,4
0.54217446,10455,3
0.1408839,11226,7
0.27601585,11691,4
0.39029577,10019,1
0.10461691,11208,6
0.31248993,10472,4
0.6061921,11105,3
0.366994,11215,5
0.37124068,10128,4
0.14959195,11234,7
0.9054043,11216,4
0.16659325,11229,6
0.106874555,11207,6
0.23923482,11209,5
0.0,11697,0
