0,geo_id,ClusterID
0.06566462,10464,0
0.17900753,10471,2
0.69731027,11210,5
0.26527295,11232,2
0.14941943,11428,2
0.16924357,11411,2
0.2033163,11427,2
0.11588174,10307,2
0.52692,10451,3
0.3615223,11004,2
0.33039117,10014,2
0.66494447,11432,4
0.7774646,11375,6
0.88803756,11220,7
0.50228107,10465,3
0.78366446,11203,6
0.64968073,10033,4
0.09564471,10044,0
0.31929415,11422,3
0.458404,11367,3
0.0806959,10005,0
1.0,10470,2
0.4158401,11358,3
0.15636754,11360,2
0.6496802,10009,3
0.9004314,11236,7
0.33650416,11370,2
0.16590232,10037,1
0.7135636,10001,2
0.16598165,11426,2
0.211627,10038,2
0.18895492,10310,2
0.15831602,11436,2
0.11162692,11366,2
0.1754328,11694,2
0.07254258,11363,0
0.17916223,10075,2
0.22184667,10303,2
0.40190703,11378,3
0.55157524,11237,4
0.1616568,11692,2
0.52828753,10459,3
0.07295337,10007,0
0.2873985,10036,2
0.08218408,10280,0
0.1393638,10302,2
0.24837083,11416,2
0.5125808,11365,3
0.6714952,11372,5
0.76012385,10466,5
0.28356522,10013,2
0.101955175,11239,0
0.06399125,10006,0
0.47933438,11413,4
0.3859021,11433,3
0.09228486,10474,0
0.19331402,11356,2
0.06329894,10004,0
0.09987533,11693,2
0.086198896,10018,0
0.8446746,11206,5
0.9029854,11211,6
0.8904869,10025,5
0.82038116,10458,5
0.81389064,11235,6
0.75924265,11218,5
0.5501933,11420,4
0.69505775,11213,4
0.24707031,10469,5
0.513999,10040,3
0.42891023,11222,3
0.8335438,11219,4
0.5399331,10021,3
0.6853782,10027,3
0.665249,10312,4
0.44036403,11106,3
0.65125656,10024,4
0.78572387,11233,5
0.0,10460,3
0.4432019,10026,3
0.500975,11374,3
0.40594316,11364,3
0.6235773,11354,4
0.32737178,10022,2
0.499913,10475,3
0.5550006,11419,4
0.5666683,10028,3
0.35849205,10010,2
0.5993065,10011,3
0.79484457,11212,4
0.8476883,11230,5
0.69497424,10032,4
0.8074429,10002,4
0.64697725,11225,4
0.6572592,10031,4
0.889658,11373,7
0.91391474,11368,7
0.44694552,11357,3
0.458242,11421,3
0.1531027,11415,2
0.47809553,11217,3
0.26186305,11429,3
0.41335547,11418,3
0.12934098,10017,1
0.86829823,11377,6
0.7976018,10462,6
0.14848801,11362,2
0.25581846,10039,2
0.2589391,11104,2
0.31436616,11423,3
0.9637959,10034,3
0.52576923,11224,3
0.40701985,11412,3
0.3366385,10309,3
0.31509203,11102,3
0.29619047,10030,2
0.28469506,11414,2
0.45609275,10304,3
0.42168805,11379,3
0.88225317,11214,7
0.3925947,10035,2
0.42088142,11103,3
0.51378596,11228,3
0.2665485,11361,2
0.9506069,10473,4
0.7488688,10463,5
0.31445765,11417,3
0.28037587,10065,2
0.7776672,11204,4
0.61742854,10003,1
0.50310004,11205,3
0.6205244,11238,4
0.2142351,10012,2
0.29759988,10308,3
0.38688052,10454,2
0.794233,10453,4
0.87383115,10314,6
0.6925397,11434,5
0.6455941,11435,5
0.6771183,10023,4
0.8388643,11221,6
0.8712592,10456,5
0.6011554,10016,3
0.8157841,10029,4
0.8364389,11355,5
0.75064856,10457,4
0.41923866,10301,3
0.56206715,10461,3
0.34788513,11369,3
0.79045856,10468,6
0.9108215,11385,7
0.3000095,11101,1
0.47919658,10305,3
0.41477138,11231,3
0.9031953,10467,7
0.5933924,10306,4
0.8185837,11223,5
0.6759962,11201,4
0.77203834,10452,4
0.4563213,10455,3
0.9004086,11226,7
0.69047415,11691,4
0.9809118,10019,1
0.88993907,11208,6
0.706753,10472,4
0.43047246,11105,3
0.7471396,11215,5
0.6552471,10128,4
0.88918996,11234,7
0.63305014,11216,4
0.8380724,11229,6
0.8731475,11207,6
0.7262213,11209,5
0.063658446,11697,0
