0,geo_id,ClusterID
0.8761523,10464,0
0.8042946,10471,2
0.23287901,11210,5
0.7542143,11232,2
0.7862904,11428,2
0.78995055,11411,2
0.7716838,11427,2
0.82368165,10307,2
0.4945973,10451,3
0.82902753,11004,2
0.66959673,10014,2
0.27208883,11432,4
0.35564744,11375,6
0.14348996,11220,7
0.52091205,10465,3
0.15705511,11203,6
0.29542792,10033,4
0.8612962,10044,0
0.6070871,11422,3
0.54059863,11367,3
0.87585115,10005,0
0.8305427,10470,2
0.56475466,11358,3
0.8056234,11360,2
0.37972975,10009,3
0.09151122,11236,7
0.6228894,11370,2
0.799999,10037,1
0.70431554,10001,2
0.7957177,11426,2
0.71218425,10038,2
0.78103054,10310,2
0.7910728,11436,2
0.8332445,11366,2
0.79346824,11694,2
0.8711721,11363,0
0.7077749,10075,2
0.7638164,10303,2
0.5615309,11378,3
0.502491,11237,4
0.78225595,11692,2
0.49511015,10459,3
0.8762232,10007,0
0.6844364,10036,2
0.8754513,10280,0
0.80467993,10302,2
0.7459379,11416,2
0.53373736,11365,3
0.29362738,11372,5
0.20112056,10466,5
0.68810356,10013,2
0.8388238,11239,0
0.8799207,10006,0
0.03646019,11413,4
0.5883422,11433,3
0.8485533,10474,0
0.0,11356,2
0.88013,10004,0
0.8413024,11693,2
0.8707539,10018,0
0.16664031,11206,5
0.32798204,11211,6
0.3449576,10025,5
0.15871876,10458,5
0.32929456,11235,6
0.25474724,11218,5
0.49314913,11420,4
0.23144326,11213,4
0.19537601,10469,5
0.5238251,10040,3
0.44017202,11222,3
0.1474528,11219,4
0.4117391,10021,3
0.99999994,10027,3
0.24979694,10312,4
0.45435858,11106,3
0.39688903,10024,4
0.18380633,11233,5
0.9611145,10460,3
0.5676789,10026,3
0.45562536,11374,3
0.5610964,11364,3
0.30538988,11354,4
0.67675275,10022,2
0.5319094,10475,3
0.49385655,11419,4
0.40570745,10028,3
0.67666906,10010,2
0.40354216,10011,3
0.16267559,11212,4
0.18149668,11230,5
0.28968078,10032,4
0.28406677,10002,4
0.28527516,11225,4
0.29369742,10031,4
0.113486856,11373,7
0.11646563,11368,7
0.5494507,11357,3
0.5497073,11421,3
0.80567265,11415,2
0.6562042,11217,3
0.7529439,11429,3
0.56929386,11418,3
0.716157,10017,1
0.118745625,11377,6
0.19062623,10462,6
0.81137985,11362,2
0.7566414,10039,2
0.7191855,11104,2
0.60703814,11423,3
0.5314876,10034,3
0.52586526,11224,3
0.56464523,11412,3
0.5921561,10309,3
0.6752115,11102,3
0.7425424,10030,2
0.61963254,11414,2
0.54745173,10304,3
0.5565233,11379,3
0.13554147,11214,7
0.60651827,10035,2
0.45606792,11103,3
0.52250093,11228,3
0.7399843,11361,2
0.24214289,10473,4
0.2705992,10463,5
0.60616434,11417,3
0.68881094,10065,2
0.18046358,11204,4
0.39292732,10003,1
0.5252364,11205,3
0.39332137,11238,4
0.69191086,10012,2
0.6110054,10308,3
0.5892405,10454,2
0.93555343,10453,4
0.096936226,10314,6
0.21765405,11434,5
0.28639323,11435,5
0.39746615,10023,4
0.18476048,11221,6
0.1427337,10456,5
0.40417552,10016,3
0.18751729,10029,4
0.13780198,11355,5
0.20500812,10457,4
0.5755586,10301,3
0.49824882,10461,3
0.60931945,11369,3
0.18733266,10468,6
0.09597382,11385,7
0.7035265,11101,1
0.54253733,10305,3
0.6634365,11231,3
0.11118543,10467,7
0.4693011,10306,4
0.17689267,11223,5
0.38843995,11201,4
0.21455428,10452,4
0.5823062,10455,3
0.09561086,11226,7
0.23401093,11691,4
0.4202515,10019,1
0.091353804,11208,6
0.21725368,10472,4
0.46044892,11105,3
0.3818404,11215,5
0.39761654,10128,4
0.09272659,11234,7
0.34837794,11216,4
0.18032146,11229,6
0.11161262,11207,6
0.33984694,11209,5
0.8780575,11697,0
