0,geo_id,ClusterID
0.11690086,10464,0
0.228025,10471,2
0.41987142,11210,5
0.6017568,11232,2
0.5841963,11428,2
0.11361271,11411,2
0.7396449,11427,2
0.12547576,10307,2
0.1567733,10451,3
0.68647426,11004,2
0.27211136,10014,2
0.9366763,11432,4
0.91729736,11375,6
0.9644195,11220,7
0.22618952,10465,3
0.27383634,11203,6
0.25191313,10033,4
0.5157319,10044,0
0.1626057,11422,3
0.82076454,11367,3
0.24273781,10005,0
0.14127511,10470,2
0.9023628,11358,3
0.67884225,11360,2
0.73267007,10009,3
0.41198766,11236,7
1.0,11370,2
0.14810151,10037,1
0.6211631,10001,2
0.7866205,11426,2
0.71234703,10038,2
0.24249223,10310,2
0.33386618,11436,2
0.689628,11366,2
0.15929246,11694,2
0.37096542,11363,0
0.20723262,10075,2
0.36529645,10303,2
0.50973016,11378,3
0.49028015,11237,4
0.2224429,11692,2
0.12880751,10459,3
0.16758004,10007,0
0.59658396,10036,2
0.239609,10280,0
0.22666878,10302,2
0.7839793,11416,2
0.9153134,11365,3
0.84890926,11372,5
0.0693934,10466,5
0.7969218,10013,2
0.12017304,11239,0
0.14529899,10006,0
0.16103187,11413,4
0.34613922,11433,3
0.11038923,10474,0
0.69933915,11356,2
0.17190388,10004,0
0.14001277,11693,2
0.45695508,10018,0
0.6502157,11206,5
0.6478187,11211,6
0.75970745,10025,5
0.39046657,10458,5
0.83313763,11235,6
0.86510456,11218,5
0.8778968,11420,4
0.2867116,11213,4
0.5685551,10469,5
0.23989798,10040,3
0.29628128,11222,3
0.92321026,11219,4
0.54235685,10021,3
0.6570658,10027,3
0.48023954,10312,4
0.7514485,11106,3
0.5421198,10024,4
0.27865267,11233,5
0.18604633,10460,3
0.0688799,10026,3
0.8618876,11374,3
0.9111941,11364,3
0.95934,11354,4
0.5085107,10022,2
0.30188876,10475,3
0.8758007,11419,4
0.5473884,10028,3
0.62427753,10010,2
0.5647916,10011,3
0.2032836,11212,4
0.0,11230,5
0.4476274,10032,4
0.9527024,10002,4
0.29797766,11225,4
0.045946896,10031,4
0.9690403,11373,7
0.8507019,11368,7
0.77681565,11357,3
0.75293714,11421,3
0.49940985,11415,2
0.4274596,11217,3
0.31365687,11429,3
0.7929965,11418,3
0.48157674,10017,1
0.95498097,11377,6
0.7998026,10462,6
0.7586684,11362,2
0.15025309,10039,2
0.6208597,11104,2
0.79035974,11423,3
0.24271831,10034,3
0.43619415,11224,3
0.19424301,11412,3
0.22257537,10309,3
0.5599151,11102,3
0.17655966,10030,2
0.2577999,11414,2
0.5152397,10304,3
0.5275776,11379,3
0.95949376,11214,7
0.2801301,10035,2
0.60630405,11103,3
0.89078534,11228,3
0.8281428,11361,2
0.19508004,10473,4
0.40490308,10463,5
0.79143155,11417,3
0.44663605,10065,2
0.93226457,11204,4
0.7283984,10003,1
0.4387687,11205,3
0.4233728,11238,4
0.5258021,10012,2
0.23912667,10308,3
0.116707176,10454,2
0.21032426,10453,4
0.8786458,10314,6
0.31945598,11434,5
0.87571573,11435,5
0.69930464,10023,4
0.41594312,11221,6
0.18967113,10456,5
0.8011892,10016,3
0.72945297,10029,4
0.9749445,11355,5
0.18105283,10457,4
0.39566055,10301,3
0.60814345,10461,3
0.52744704,11369,3
0.3725885,10468,6
0.71966046,11385,7
0.6998514,11101,1
0.6103588,10305,3
0.35341847,11231,3
0.6473751,10467,7
0.4583707,10306,4
0.9138437,11223,5
0.73660964,11201,4
0.20907682,10452,4
0.13791543,10455,3
0.8233917,11226,7
0.3875531,11691,4
0.73666584,10019,1
0.62838566,11208,6
0.55629075,10472,4
0.55266577,11105,3
0.6491694,11215,5
0.6494686,10128,4
0.67029846,11234,7
0.41886032,11216,4
0.9075813,11229,6
0.30823466,11207,6
0.7847063,11209,5
0.110497534,11697,0
