0,geo_id,ClusterID
1.4901161e-06,10464,0
0.14425701,10471,2
0.8247744,11210,5
0.21460852,11232,2
0.1398595,11428,2
0.1955263,11411,2
0.1936039,11427,2
0.06290686,10307,2
0.43208975,10451,3
0.057527333,11004,2
0.18540138,10014,2
0.7895069,11432,4
0.90986717,11375,6
0.967304,11220,7
0.4802555,10465,3
0.9116772,11203,6
0.74018437,10033,4
7.587671e-05,10044,0
0.52335054,11422,3
0.4365538,11367,3
0.024634868,10005,0
0.08798778,10470,2
0.42881715,11358,3
0.097285986,11360,2
0.6031565,10009,3
0.99999994,11236,7
0.15987268,11370,2
0.1078369,10037,1
0.11258301,10001,2
0.15231183,11426,2
0.097694635,10038,2
0.12483156,10310,2
0.17321411,11436,2
0.058834314,11366,2
0.14479682,11694,2
0.021948993,11363,0
0.081198245,10075,2
0.19578278,10303,2
0.43957984,11378,3
0.6191247,11237,4
0.15447596,11692,2
0.46350518,10459,3
0.012835503,10007,0
0.1843934,10036,2
0.026822567,10280,0
0.06863806,10302,2
0.23826888,11416,2
0.5933734,11365,3
0.8028372,11372,5
0.8744348,10466,5
0.1069752,10013,2
0.051474333,11239,0
0.0076037645,10006,0
0.6248538,11413,4
0.43761623,11433,3
6.6161156e-06,10474,0
0.14553326,11356,2
0.0049560666,10004,0
0.08163324,11693,2
0.026483893,10018,0
0.8105073,11206,5
0.9115615,11211,6
0.8856159,10025,5
0.8442209,10458,5
0.9074678,11235,6
0.82222974,11218,5
0.70748174,11420,4
0.7328598,11213,4
0.8824928,10469,5
0.5095325,10040,3
0.53535825,11222,3
0.7256417,11219,4
0.46072993,10021,3
0.5459219,10027,3
0.7952874,10312,4
0.50834334,11106,3
0.64992225,10024,4
0.8540108,11233,5
0.5908972,10460,3
0.38959187,10026,3
0.57005763,11374,3
0.51073915,11364,3
0.61722386,11354,4
0.18003616,10022,2
0.6097825,10475,3
0.7150084,11419,4
0.5732324,10028,3
0.24673367,10010,2
0.49059975,10011,3
0.7878593,11212,4
0.8403316,11230,5
0.75458884,10032,4
0.6588475,10002,4
0.77084434,11225,4
0.7689735,10031,4
0.9768837,11373,7
0.99952185,11368,7
0.43125185,11357,3
0.5839295,11421,3
0.134018,11415,2
0.47323972,11217,3
0.4009152,11429,3
0.4588855,11418,3
0.10826746,10017,1
0.9274107,11377,6
0.9397608,10462,6
0.08808756,11362,2
0.16868192,10039,2
0.22355169,11104,2
0.42566782,11423,3
0.54197943,10034,3
0.44922408,11224,3
0.5601615,11412,3
0.41967237,10309,3
0.37729988,11102,3
0.19937572,10030,2
0.21355188,11414,2
0.4439807,10304,3
0.4942222,11379,3
0.9767628,11214,7
0.18322745,10035,2
0.5366696,11103,3
0.5264842,11228,3
0.22613358,11361,2
0.6441095,10473,4
0.856736,10463,5
0.39066374,11417,3
0.13125485,10065,2
0.7904796,11204,4
0.3099411,10003,1
0.44101322,11205,3
0.7320013,11238,4
0.084896415,10012,2
0.37265682,10308,3
0.22281408,10454,2
0.7696444,10453,4
0.9418062,10314,6
0.8609909,11434,5
0.8283253,11435,5
0.615737,10023,4
0.94294304,11221,6
0.8621977,10456,5
0.5199489,10016,3
0.69764555,10029,4
0.8533256,11355,5
0.73191506,10457,4
0.41673833,10301,3
0.60025316,10461,3
0.3559488,11369,3
0.90261877,10468,6
0.9952034,11385,7
0.26276988,11101,1
0.48217168,10305,3
0.38955873,11231,3
0.97269964,10467,7
0.6758192,10306,4
0.8950821,11223,5
0.6826094,11201,4
0.7620671,10452,4
0.38516086,10455,3
0.98773694,11226,7
0.76963425,11691,4
0.30400908,10019,1
0.930515,11208,6
0.72142375,10472,4
0.5352021,11105,3
0.8867562,11215,5
0.71483594,10128,4
0.3326525,11234,7
0.7722902,11216,4
0.94024754,11229,6
0.94376117,11207,6
0.8914275,11209,5
0.0,11697,0
